Place	number
Huntingdon	69
Hurn	125
Hurst Lane	59
Hythe, Southampton	128
Ide	115
Immingham	64
Inverkeithing	10
Inverness	1
Jarrow	24
Jesmond	26
Jocks Lodge	18
Johnstown	75
Joppa	18
Jordanston	81
Junction Road	19
Kearsney	133
Kelvinside	15
Kennishead	15
Kensington	100
Kew	103
Keyham	114
Kings Lynn	67
Kinloss	3
Kipps	16
Kirby Muxloe	62
Kirkinch	8
Kirkinch	9
Kirkinner	17
Kirkintilloch	16
Kirklee	15
Kirkliston	13
Kissthorns	40
Knaresborough	42
Lackenby	43
Ladybank	5
Laira	114
Lands	31
Larbert	6
Lasswade Road	18
Lawrence Hill	121
Lazenby	43
Leamside	41
Leamside	32
Leasingthorne	33
Leason Hill	9
Leeds	56
Leegate 20g	20
Legacy	75
Leicester West Bridge	62
Leith	19
Leith	18
Lenzie	16
Letterston	81
Lewes	132
Lhanbryde	3
Llansamlet [Mid]	44
Liff	9
Lilliput Road	88
Limehouse	108
Lindores temp	5
Linksfield	3
Linlithgow	14
Lipson Vale	114
Little Somerford	122
Liverpool	47
Llanbradach	92
Llanelly	82
Llanyblodwell	80
Llanycefn	81
Llanymynech	80
Lochee	9
Lochee West	9
London Bishopsgate	108
London Bishopsgate	107
London Blackfriars (all)	106
London Bricklayers Arms	105
London Devonshire Street	107
London Fenchurch Street	108
London Holborn Viaduct	106
London Liverpool Street	107
London London Bridge	105
London Ludgate Hill	106
London Minories	108
London Pimlico	109
London Victoria	109
London Waterloo	106
Long Eaton	60
Longmorn	3
Longridge	16
Longsight	52
Lossiemouth	3
Low Row 20g	20
Lowca	21
Lucas Terrace	114
Luxorough Road	117
Lydd	130
Maenclochog	81
Maiden Lane	101
Mains Crossing	17
Malmesbury	122
Manchester	52
Manod	78
Manors	27
Manors	26
Manuel	14
Marchwood	128
Margate	131
Marlborough	124
Marsh Lane	56
Martell Bridge	81
Martin Mill	133
Maryhill	15
Maryport 20g	20
Mathry Road	81
Meeth	116
Meigle	8
Memorial	40
Merrylees	62
Meyrick Park	125
Micklam	21
Micklehurst	53
Middlesbrough	43
Middleton	51
Mile End	108
Mile End	107
Mill Street	86
Millerhill	18
Millisle	17
Milltown	59
Minffordd	76
Monifieth	4
Monkseaton	26
Monkwearmouth	29
Montpelier	121
Moor Edge	26
Morningside	16
Morpeth	23
Morriston [Mid]	88
Moss (& Pentre)	75
Moss Road	15
Mossley	53
Motherwell	16
Mount Gould	114
Mount Pleasant Road Exeter	115
Mumbles, M Road	88
Musselburgh	18
Nailbridge	94
Nanstallon	113
Nantmor	76
Nast Hyde	72
Neath	83
New Broughton Road	75
New Cross	105
New Halls	13
New Inn Bridge	81
New Inn Glynceiriog	79
New Milton	125
New Passage	121
New Romney	130
New Wandsworth	110
Newburgh	5
Newcastle	26
Newcastle	27
Newhailes	18
Newington Road …	101
Newnham	94
Newport S Wales	89
Newton Stewart	17
Newtongrange	18
Newtyle	8
Newtyle	9
Nidd Bridge	42
Niddrie	18
Niddrie	18
Ninewells Junction	9
North Filton	121
North Kent Junction	105
North Queensferry	10
North Shields	26
Northallerton	37
Norton Road	88
Oakdale	87
Oldham	51
Orbliston	3
Orton	3
Overtown	16
Oystermouth	88
Paisley	12
Pampisford	70
Pant	75
Park Head	30
Parkstone	125
Patchway	121
Pear Tree Hill	66
Pelaw	24
Pelton	34
Penar Junction	87
Penarth Dock	87b
Penmaen	87
Penn	96
Penponds	111
Pensher	34
Pensnett	96
Pentrebroughton	75
Pentresaeson	75
Pentwynmawr	87
Pentyrch	90
Percy Main	26
Perth	5
Peterborough	65
Petrockstow	116
Pilning	121
Pinhoe	115
Pittington	41
Pitts Head	76
Plas Power	75
Plas-y-Nant	76
Plymouth	114
Plympton	114
Plymstock	114
Pokesdown	125
Pollokshaws	15
Pollokshields	15
Polmont	11
Polsloe Bridge	115
Ponkey Crossing	75
Pont Croesor	76
Pontfadog	79
Pontfaen	79
Pontllanfraith LL	87
Poole	125
Port Edgar	13
Portmadoc	76
Portobello	19
Portobello	18
Portreuddyn	76
Preston	44
Primrose Hill	101
Prospect Hill	26
Puncheston	81
Puxton	123
Pwllypant	92
Queens Head	79
Quellyn	76
Rainton	41
Ramsgate	131
Ratby	62
Ratho	13
Rawyards	16
Redbridge	128
Redcar	43
Redland	121
Redruth	111
Rhos (2)	75
Rhosdddu	75
Rhosrobin	75
Rhostyllen	75
Ringwood	125
Roadwater	117
Rochester	129
Rosebush	81
Rosehill	21
Rothes	3
Rowley	28
Rowley	30
Ruabon	75
Ruddle Road	94
Rushford	52
Ruspidge	94
Rutherglen	15
S t Andrews Road Avonmouth	121
S t Annes Park	121
S t Budeaux	114
S t Dunstans	54
S t Gabriels	88
S t Germans (Kings Lynn)	67
S t Helens Swansea	88
S t James Park, Exeter	115
S t Lawrence Bodmin	113
S t Lawrence Pegwell Bay	131
S t Olaves	73
Salem	76
Salisbury	126
Saltash	114
Salter Lane	59
Saltersgate	30
Saltley	99
Sand Hutton	40
Savernake	124
Sawley Junction	60
Sculcoates	63
Sea Mills	121
Seaton Delaval	26
Seaton Sluice	26
Seghill	26
Severn Beach	121
Shadwell	108
Sheffield	57
Shelford	70
Shepherds Bush	100
Sherburn House, Colliery	32
Sheriffhall	18
Shields Road	15
Shildon	31
Shincliffe	32
Shirehampton	121
Shoreditch	107
Six Mile Bottom	70
Sketty Road	88
Sorbie	17
Sourden	3
South Bank	43
South End	16
South Lynn	67
South Queensferry	13
South Shields	25
South Snowdon	76
South Wigstom	61
Southcoates	63
Southend	88
Southport	45
Spa Road	105
Spennymoor	33
Spiersbridge	15
Spofforth	42
Sprigfield (Ashover)	59
Springwell	24
Stafford Road	98
Stag & Castle Inn	62
Staley & Millbrook	53
Stalybridge	53
Stanhope	30
Staple Edge	94
Stapleton Road	121
Starbeck	42
Steam Mills	94
Stepney	108
Stepney	63
Stepney Hull	63
Stewarts Lane	109
Stockton	39
Stokes Bay	127
Stourbridge	97
Stretton	59
Strood	129
Sully	87b
Sunderland	29
Sutton Bridge	66
Swalwell	27
Swansea	88
Sway	125
Taffs Well	90
Tanfield Moor	27
Tan-y-Manod	78
Templecombe	120
Tettenhall	96
The Avenue	26
The Lodge	75
Thetford	68
Thirsk	38
Thornhill	55
Thornliebank (?)	15
Thornton Lane	62
Throsk	6
Tilliecoultry	6
Tivoli	131
Tod Hills	33
Tod Point	43
Ton Llwyd	86
Topsham	115
Torrington	116
Toton	60
Totton	128
Tow Law	30
Trent	60
Treowen	87
Trinity & Newhaven	19
Truro	112
Tryfan Junction	76
Tunnel Junction	31
Turnhouse	13
Tydd	66
Tyddyngwyn	78
Tyne Dock	24
Tyne Dock	25
Tynemouth	26
Upper Bank	44
Upper Soudley	94
Uttoxeter	58
Vicarage Crossing	75
Victoria Park, Bow	108
Vigo	34
Waenfawr	76
Walker	26
Wallsend	26
Walnut Tree	90
Walsoken	66
Wandsworth	110
Wandsworth Road	109
Warrenby	43
Warringron	50
Warthill	40
Washford	117
Washington	34
Washington	9
Washington	8
Waskerley	30
Watchet	117
Watergate	116
Watlington	67
Wear Valley Junction	31
Wearmouth	29
Wednesfield Heath	98
Weeton	42
Wells Somerset	119
Welsh Hook	81
Welwyn Junction	72
West Auckland	31
West Cross	88
West Ferry	4
West London Junction	100
West Lynn	67
West Moors	125
Weston Mill	114
Weston Milton	123
Weston-super-Mare	123
Whauphill	17
Whifflet	16
Whimsey	94
Whipton Bridge	115
Whitburn	16
White Sike	40
Whithorn	17
Whitley (Bay)	26
Whittlesford	70
Widnes	49
Wigan	48
Wigston	61
Wigton 20g	20
Wigtown	17
Willesden Junction	102
Wilmington	63
Wimborne	125
Winchburgh	13
Winder	22
Wingfield Villas	114
Winwick	50
Wisbech	66
Wishaw	16
Wolfs Castle	81
Wolverhampton	98
Wolverhampton LL –    not major entry	96
Wombourn	96
Woolley	59
Workington	21
Worle	123
Wortley & Farnley	56
Wrexham	75
Wynn Hall	75
Wynnville	75
Yarde	116
Yarm	39
Yeathouse	22
Yeovil	118
Ynysferlas	76
Ynysfor	76
Ystrad near Caerphilly	92
